"","X","Covered_Recipient_Type","Teaching_Hospital_CCN","Teaching_Hospital_ID","Teaching_Hospital_Name","Recipient_Primary_Business_Street_Address_Line1","Recipient_Primary_Business_Street_Address_Line2","Recipient_City","Recipient_State","Recipient_Zip_Code","Submitting_Applicable_Manufacturer_or_Applicable_GPO_Name","Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID","Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name","Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State","Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Country","Total_Amount_of_Payment_USDollars","Date_of_Payment","Number_of_Payments_Included_in_Total_Amount","Form_of_Payment_or_Transfer_of_Value","Nature_of_Payment_or_Transfer_of_Value","City_of_Travel","State_of_Travel","Country_of_Travel","Physician_Ownership_Indicator","Third_Party_Payment_Recipient_Indicator","Name_of_Third_Party_Entity_Receiving_Payment_or_Transfer_of_Value","Charity_Indicator","Third_Party_Equals_Covered_Recipient_Indicator","Contextual_Information","Delay_in_Publication_Indicator","Record_ID","Product_Indicator","Name_of_Associated_Covered_Drug_or_Biological1","Name_of_Associated_Covered_Drug_or_Biological2","Name_of_Associated_Covered_Drug_or_Biological3","Name_of_Associated_Covered_Drug_or_Biological4","Name_of_Associated_Covered_Drug_or_Biological5","NDC_of_Associated_Covered_Drug_or_Biological1","NDC_of_Associated_Covered_Drug_or_Biological2","NDC_of_Associated_Covered_Drug_or_Biological3","NDC_of_Associated_Covered_Drug_or_Biological4","NDC_of_Associated_Covered_Drug_or_Biological5","Name_of_Associated_Covered_Device_or_Medical_Supply1","Name_of_Associated_Covered_Device_or_Medical_Supply2","Name_of_Associated_Covered_Device_or_Medical_Supply3","Name_of_Associated_Covered_Device_or_Medical_Supply4","Name_of_Associated_Covered_Device_or_Medical_Supply5","address","lon","lat"
"99",99,"Covered Recipient Teaching Hospital",500008,1039,"UNIVERSITY OF WASHINGTON","1963 NE PACIFIC ST","","SEATTLE","WA","98195","GE Healthcare",100000005511,"GE Healthcare","WI","United States",3000,"09/11/2013",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","","","","No",101955184,"Covered","","","","",NA,"","","",NA,NA,"COMPUTED TOMOGRAPHY","",NA,NA,NA,"1963 NE PACIFIC ST, SEATTLE, WA 98195",-122.3074446,47.650473
"100",100,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","1959 NE Pacific St","","Seattle","WA","98195","Oticon Medical, LLC",100000005561,"Oticon Medical, LLC","NJ","United States",135,"10/22/2013",1,"Cash or cash equivalent","Education","","","",NA,"No Third Party Payment","","No","","","No",105403220,"Covered","","","","",NA,"","","",NA,NA,"PONTO BONE ANCHORED HEARING SYSTEM","",NA,NA,NA,"1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"101",101,"Covered Recipient Teaching Hospital",500005,1026,"Virginia Mason Medical Center","925 Seneca St","","Seattle","WA","98101","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",80,"10/10/2013",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",102307600,"Covered","","","","",NA,"","","",NA,NA,"Controls","",NA,NA,NA,"925 Seneca St, Seattle, WA 98101",-122.327633,47.6100079
"102",102,"Covered Recipient Teaching Hospital",500027,1024,"Swedish Health Services","747 Broadway","","Seattle","WA","98122","KARLSTORZ Endoscopy-America",100000005515,"KARLSTORZ Endoscopy-America","CA","United States",10036,"09/19/2013",1,"In-kind items and services","Education","","","",NA,"No Third Party Payment","","","","","No",102105956,"Covered","","","","",NA,"","","",NA,NA,"ANESTHESIOLOGY","",NA,NA,NA,"747 Broadway, Seattle, WA 98122",-122.3220878,47.6088589
"103",103,"Covered Recipient Teaching Hospital",500008,1039,"UNIVERSITY OF WASHINGTON","1959 NE PACIFIC ST BOX 356540","","SEATTLE","WA","98195-0001","Sigma-Tau Pharmaceuticals, Inc.",100000011182,"Sigma-Tau Pharmaceuticals, Inc.","MD","United States",1500,"08/14/2013",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","","","","No",104966906,"Covered","Oncaspar","","","",NA,"54482-0301-0","","",NA,NA,"","",NA,NA,NA,"1959 NE PACIFIC ST BOX 356540, SEATTLE, WA 98195-0001",-122.3084023,47.6508882
"104",104,"Covered Recipient Teaching Hospital",500005,1026,"Virginia Mason Medical Center","925 Seneca St","","Seattle","WA","98101","MAQUET Cardiovascular U.S. Sales, L.L.C.",100000010724,"MAQUET Cardiovascular U.S. Sales, L.L.C.","NJ","United States",81.74,"09/13/2013",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","","","","No",218142742,"Non-covered","","","","",NA,"","","",NA,NA,"","",NA,NA,NA,"925 Seneca St, Seattle, WA 98101",-122.327633,47.6100079
"105",105,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","1959 NE Pacific St","","Seattle","WA","98195","EMD Millipore Corporation",100000005624,"EMD Millipore Corporation","MA","United States",37.5,"08/16/2013",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","No","","","No",105374848,"Non-covered","","","","",NA,"","","",NA,NA,"","",NA,NA,NA,"1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"106",106,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","1959 NE Pacific St","","Seattle","WA","98195","EMD Millipore Corporation",100000005624,"EMD Millipore Corporation","MA","United States",314,"10/16/2013",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","No","","","No",105374722,"Non-covered","","","","",NA,"","","",NA,NA,"","",NA,NA,NA,"1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"107",107,"Covered Recipient Teaching Hospital",500025,1023,"Swedish Health Services","500 17th Ave","","Seattle","WA","98124","Janssen Pharmaceuticals, Inc",100000000232,"Janssen Pharmaceuticals, Inc","NJ","United States",2000,"10/31/2013",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","No","","Booth or exhibit space rental","No",102693758,"Covered","Xarelto","","","",NA,"5045857810","","",NA,NA,"","",NA,NA,NA,"500 17th Ave, Seattle, WA 98124",-122.3101639,47.6072783
"108",108,"Covered Recipient Teaching Hospital",500064,1032,"Harborview Medical Center","325 9th Ave","","Seattle","WA","98104","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",68.05,"12/18/2013",1,"In-kind items and services","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",102308838,"Covered","","","","",NA,"","","",NA,NA,"Controls","",NA,NA,NA,"325 9th Ave, Seattle, WA 98104",-122.3241757,47.6038212
"109",109,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","1959 NE Pacific St","","Seattle","WA","98195","Pfizer Inc.",100000000286,"Pfizer Inc.","NY","United States",7500,"12/23/2013",1,"Cash or cash equivalent","Charitable Contribution","","","",NA,"No Third Party Payment","","","","","No",205212770,"None","","","","",NA,"","","",NA,NA,"","",NA,NA,NA,"1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"110",110,"Covered Recipient Teaching Hospital",500129,1031,"Multicare Health System","315 Martin Luther King Jr Way","MS  737-2-PHYS","Tacoma","WA","98405","KARLSTORZ Endoscopy-America",100000005515,"KARLSTORZ Endoscopy-America","CA","United States",1587.5,"12/02/2013",1,"Cash or cash equivalent","Gift","","","",NA,"Individual","","No","No","","No",102121760,"Covered","","","","",NA,"","","",NA,NA,"LAPAROSCOPY","",NA,NA,NA,"315 Martin Luther King Jr Way, Tacoma, WA 98405",-122.4529682,47.2593601
"111",111,"Covered Recipient Teaching Hospital",500005,1026,"Virginia Mason Medical Center","925 SENECA ST","","SEATTLE","WA","98101","St. Jude Medical, Inc.",100000000310,"St. Jude Medical, Inc.","MN","United States",250,"11/07/2013",1,"Cash or cash equivalent","Gift","","","",NA,"No Third Party Payment","","No","","","No",100614590,"None","","","","",NA,"","","",NA,NA,"","",NA,NA,NA,"925 SENECA ST, SEATTLE, WA 98101",-122.327633,47.6100079
"112",112,"Covered Recipient Teaching Hospital",500027,1024,"Swedish Health Services","747 Broadway","","Seattle","WA","98122","Actelion Pharmaceuticals US, Inc.",100000010813,"Actelion Pharmaceuticals US, Inc.","CA","United States",500,"12/10/2013",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","","","","No",104273698,"Covered","TRACLEER BOSENTAN","","","",NA,"6621510206","","",NA,NA,"","",NA,NA,NA,"747 Broadway, Seattle, WA 98122",-122.3220878,47.6088589
"113",113,"Covered Recipient Teaching Hospital",500050,1040,"Peacehealth Southwest Medical Center","200 NE Mother Joseph Pl Ste 400","","Vancouver","WA","98664","ACell, Inc.",100000046254,"ACell, Inc.","MD","United States",4140,"12/13/2013",1,"Cash or cash equivalent","Education","","","",NA,"No Third Party Payment","","No","","","No",220131830,"None","","","","",NA,"","","",NA,NA,"","",NA,NA,NA,"200 NE Mother Joseph Pl Ste 400, Vancouver, WA 98664",-122.5800895,45.6241511
"114",114,"Covered Recipient Teaching Hospital",500005,1026,"VIRGINIA MASON MEDICAL CENTER","1100 9TH AVENUE","","SEATTLE","WA","98111","Allergan Inc.",100000000278,"Allergan Inc.","CA","United States",3000,"11/13/2013",1,"Cash or cash equivalent","Consulting Fee","","","",NA,"No Third Party Payment","","No","","","No",23677950,"Covered","BOTOX","","","",NA,"","","",NA,NA,"","",NA,NA,NA,"1100 9TH AVENUE, SEATTLE, WA 98111",-122.3279078,47.6094749
"115",115,"Covered Recipient Teaching Hospital",500064,1032,"HARBORVIEW MEDICAL CENTER","325 9TH AVE","","SEATTLE","WA","98104","Stryker Corporation",100000010503,"Stryker Corporation","MI","United States",4001.15,"11/21/2013",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","","","","No",104174722,"None","","","","",NA,"","","",NA,NA,"","",NA,NA,NA,"325 9TH AVE, SEATTLE, WA 98104",-122.3241757,47.6038212
"116",116,"Covered Recipient Teaching Hospital",500129,1031,"Multicare Health System","315 Martin Luther King Jr Way","MS  737-2-PHYS","Tacoma","WA","98405","KARLSTORZ Endoscopy-America",100000005515,"KARLSTORZ Endoscopy-America","CA","United States",1587.5,"12/02/2013",1,"Cash or cash equivalent","Gift","","","",NA,"Individual","","No","No","","No",102121756,"Covered","","","","",NA,"","","",NA,NA,"LAPAROSCOPY","",NA,NA,NA,"315 Martin Luther King Jr Way, Tacoma, WA 98405",-122.4529682,47.2593601
"117",117,"Covered Recipient Teaching Hospital",500012,609,"Yakima Hma Llc","110 S 9th Ave","","Yakima","WA","98902","Teleflex Medical Incorporated",100000011040,"Teleflex Medical Incorporated","NC","United States",911.46,"09/13/2013",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","","","","No",215464420,"Covered","","","","",NA,"","","",NA,NA,"Surgical","",NA,NA,NA,"110 S 9th Ave, Yakima, WA 98902",-120.5213088,46.5966275
"118",118,"Covered Recipient Teaching Hospital",500129,1031,"Multicare Health System","315 Martin Luther King Jr Way","","Tacoma","WA","98405","Meridian Bioscience Inc.",100000010483,"Meridian Bioscience Inc.","OH","United States",4.89,"10/28/2013",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","","","Lab Equipment provided for Illumigene Testing","No",101959296,"Covered","","","","",NA,"","","",NA,NA,"illumigene Group B Strep Test Kit","",NA,NA,NA,"315 Martin Luther King Jr Way, Tacoma, WA 98405",-122.4529682,47.2593601
"119",119,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","1959 NE PACIFIC ST","GASTROENTEROLOGY SOCIETY, BOX 356424","SEATTLE","WA","98195","Salix Pharmaceuticals, Ltd",100000010796,"Salix Pharmaceuticals, Ltd","NC","United States",1500,"08/22/2013",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","","","","No",104024934,"None","","","","",NA,"","","",NA,NA,"","",NA,NA,NA,"1959 NE PACIFIC ST, SEATTLE, WA 98195",-122.3091341,47.6506935
"120",120,"Covered Recipient Teaching Hospital",500005,1026,"Virginia Mason Medical Center","925 Seneca St","","Seattle","WA","98101","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",240,"08/28/2013",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",102307292,"Covered","","","","",NA,"","","",NA,NA,"Controls","",NA,NA,NA,"925 Seneca St, Seattle, WA 98101",-122.327633,47.6100079
"121",121,"Covered Recipient Teaching Hospital",500005,1026,"Virginia Mason Medical Center","925 Seneca St","","Seattle","WA","98101","Masimo Corporation",100000005698,"Masimo Corporation","CA","United States",1000,"12/03/2013",1,"Cash or cash equivalent","Consulting Fee","","","",NA,"No Third Party Payment","","","","","No",104127270,"Covered","","","","",NA,"","","",NA,NA,"Acoustic Respiratory Monitoring","",NA,NA,NA,"925 Seneca St, Seattle, WA 98101",-122.327633,47.6100079
"122",122,"Covered Recipient Teaching Hospital",500027,1024,"Swedish Health Services","747 Broadway","","Seattle","WA","98122","Actelion Pharmaceuticals US, Inc.",100000010813,"Actelion Pharmaceuticals US, Inc.","CA","United States",500,"12/10/2013",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","","","","No",104273696,"Covered","TRACLEER BOSENTAN","","","",NA,"6621510206","","",NA,NA,"","",NA,NA,NA,"747 Broadway, Seattle, WA 98122",-122.3220878,47.6088589
"123",123,"Covered Recipient Teaching Hospital",500008,1039,"University of Washington","1959 NE Pacific Street","","Seattle","WA","98195","AbbVie, Inc.",100000000204,"AbbVie, Inc.","IL","United States",500,"08/09/2013",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","","","","No",104719854,"Covered","Kaletra","","","",NA,"0074-6799-22","","",NA,NA,"","",NA,NA,NA,"1959 NE Pacific Street, Seattle, WA 98195",-122.3091341,47.6506935
"124",124,"Covered Recipient Teaching Hospital",500005,1026,"Virginia Mason Medical Center","925 Seneca St","","Seattle","WA","98101","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",59.3,"10/13/2013",1,"In-kind items and services","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",102308604,"Covered","","","","",NA,"","","",NA,NA,"Controls","",NA,NA,NA,"925 Seneca St, Seattle, WA 98101",-122.327633,47.6100079
"125",125,"Covered Recipient Teaching Hospital",500001,1029,"Uw Medicine Northwest","1550 North 115th Street","Mail Stop PZ 506","Seattle","WA","98133","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",59.97,"08/28/2013",1,"In-kind items and services","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",102308962,"Covered","","","","",NA,"","","",NA,NA,"Controls","",NA,NA,NA,"1550 North 115th Street, Seattle, WA 98133",-122.3372047,47.7146036
"126",126,"Covered Recipient Teaching Hospital",500129,1031,"Multicare Health System","315 Martin Luther King Jr Way","","Tacoma","WA","98405","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",713.1,"09/19/2013",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","","","","No",102309218,"Covered","","","","",NA,"","","",NA,NA,"Immunoassay","",NA,NA,NA,"315 Martin Luther King Jr Way, Tacoma, WA 98405",-122.4529682,47.2593601
"127",127,"Covered Recipient Teaching Hospital",500005,1026,"Virginia Mason Medical Center","925 Seneca St","","Seattle","WA","98101","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",75.6,"11/13/2013",1,"In-kind items and services","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",102308626,"Covered","","","","",NA,"","","",NA,NA,"Controls","",NA,NA,NA,"925 Seneca St, Seattle, WA 98101",-122.327633,47.6100079
"128",128,"Covered Recipient Teaching Hospital",503300,1025,"Seattle Children'S Hospital","4800 SAND POINT WAY NE","","SEATTLE","WA","98105","Biomet, Inc.",100000005643,"Biomet Orthopedics, LLC","IN","United States",10.08,"11/30/2013",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","","","WRITE-OFF OF BALANCE DUE","No",110037404,"Covered","","","","",NA,"","","",NA,NA,"ORTHO - GENERAL","",NA,NA,NA,"4800 SAND POINT WAY NE, SEATTLE, WA 98105",-122.283265,47.6626378
"129",129,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","1959 Ne Pacific St","","Seattle","WA","98195","Covidien Sales LLC",100000000098,"Covidien Sales LLC","MA","United States",24122.6,"10/22/2013",1,"Cash or cash equivalent","Grant","","","",NA,"No Third Party Payment","","","","Device loan greater than 90 days","No",104910820,"Covered","","","","",NA,"","","",NA,NA,"Open Stapling","Endo Stapling",NA,NA,NA,"1959 Ne Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"130",130,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","1959 NE Pacific St","","Seattle","WA","98195","Roche Diagnostics Corporation",100000005419,"Roche Diagnostics Corporation","IN","United States",2017.2,"11/30/2013",1,"In-kind items and services","Education","","","",NA,"No Third Party Payment","","No","","","No",103805356,"Covered","","","","",NA,"","","",NA,NA,"MD - Virology","",NA,NA,NA,"1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"131",131,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","1959 NE Pacific St","","Seattle","WA","98195","EMD Millipore Corporation",100000005624,"EMD Millipore Corporation","MA","United States",19.25,"08/08/2013",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","No","","","No",105374450,"Non-covered","","","","",NA,"","","",NA,NA,"","",NA,NA,NA,"1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"132",132,"Covered Recipient Teaching Hospital",500064,1032,"Harborview Medical Center","325 9th Ave","","SEATTLE","WA","98104","Biomet, Inc.",100000005651,"Biomet Microfixation, LLC","FL","United States",12.05,"11/30/2013",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","","","WRITE-OFF OF BALANCE DUE","No",110063368,"Covered","","","","",NA,"","","",NA,NA,"MICROFIXATION - ORAL AND MAXILLOFACIAL","",NA,NA,NA,"325 9th Ave, SEATTLE, WA 98104",-122.3241757,47.6038212
"133",133,"Covered Recipient Teaching Hospital",500001,1029,"Uw Medicine Northwest","1550 North 115th Street","Mail Stop PZ 506","Seattle","WA","98133","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",996,"10/23/2013",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",102307666,"Covered","","","","",NA,"","","",NA,NA,"Controls","",NA,NA,NA,"1550 North 115th Street, Seattle, WA 98133",-122.3372047,47.7146036
"134",134,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","1959 NE Pacific St","","Seattle","WA","98195","Astellas Pharma US Inc",100000000137,"Astellas Pharma US Inc","IL","United States",1300,"08/28/2013",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","","","","No",101667654,"Covered","Lexiscan","Myrbetriq","","",NA,"","","",NA,NA,"","",NA,NA,NA,"1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"135",135,"Covered Recipient Teaching Hospital",500001,1029,"Uw Medicine Northwest","1550 North 115th Street","Mail Stop PZ 506","Seattle","WA","98133","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",127.92,"09/25/2013",1,"In-kind items and services","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",102308970,"Covered","","","","",NA,"","","",NA,NA,"Controls","",NA,NA,NA,"1550 North 115th Street, Seattle, WA 98133",-122.3372047,47.7146036
"136",136,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","1959 NE PACIFIC ST","GASTROENTEROLOGY SOCIETY, BOX 356424","SEATTLE","WA","98195","Salix Pharmaceuticals, Ltd",100000010796,"Salix Pharmaceuticals, Ltd","NC","United States",500,"10/25/2013",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","","","","No",104024444,"None","","","","",NA,"","","",NA,NA,"","",NA,NA,NA,"1959 NE PACIFIC ST, SEATTLE, WA 98195",-122.3091341,47.6506935
"137",137,"Covered Recipient Teaching Hospital",500129,1031,"Multicare Health System","315 Martin Luther King Jr Way","MS  737-2-PHYS","Tacoma","WA","98405","KARLSTORZ Endoscopy-America",100000005515,"KARLSTORZ Endoscopy-America","CA","United States",50.96,"08/01/2013",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","","","","No",102108020,"Covered","","","","",NA,"","","",NA,NA,"UROLOGY","",NA,NA,NA,"315 Martin Luther King Jr Way, Tacoma, WA 98405",-122.4529682,47.2593601
"138",138,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","1959 Ne Pacific St","","Seattle","WA","98195","AstraZeneca Pharmaceuticals LP",100000000146,"AstraZeneca Pharmaceuticals LP","DE","United States",1500,"09/08/2013",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","No","","Exhibit Display Fee","No",174051742,"Covered","FASLODEX","","","",NA,"0003100720","","",NA,NA,"","",NA,NA,NA,"1959 Ne Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"139",139,"Covered Recipient Teaching Hospital",503300,1025,"Seattle Children'S Hospital","4800 Sand Point Way NE","S-100","Seattle","WA","98105","QIAGEN Sciences LLC",100000005480,"QIAGEN Sciences, LLC","MD","United States",670,"11/13/2013",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","","","","No",103083368,"Covered","","","","",NA,"","","",NA,NA,"QUANTIFERON - TB GOLD QFT","",NA,NA,NA,"4800 Sand Point Way NE, Seattle, WA 98105",-122.283265,47.6626378
"140",140,"Covered Recipient Teaching Hospital",500027,1024,"Swedish Health Services","747 Broadway","","Seattle","WA","98122","Otsuka America Pharmaceutical, Inc.",100000010723,"Otsuka America Pharmaceutical, Inc.","MD","United States",500,"11/14/2013",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","","","","No",105152288,"Covered","SAMSCA","","","",NA,"5914802050","","",NA,NA,"","",NA,NA,NA,"747 Broadway, Seattle, WA 98122",-122.3220878,47.6088589
"141",141,"Covered Recipient Teaching Hospital",500005,1026,"Virginia Mason Medical Center","925 Seneca St","","Seattle","WA","98101","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",168.77,"09/18/2013",1,"In-kind items and services","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",102308594,"Covered","","","","",NA,"","","",NA,NA,"Controls","",NA,NA,NA,"925 Seneca St, Seattle, WA 98101",-122.327633,47.6100079
"142",142,"Covered Recipient Teaching Hospital",500129,1031,"Multicare Health System","315 Martin Luther King Jr Way","","Tacoma","WA","98405","Ethicon Inc.",100000000122,"Ethicon Inc.","NJ","United States",5982,"10/25/2013",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","No","","","No",100657446,"Covered","","","","",NA,"","","",NA,NA,"Endoscopy# Other","",NA,NA,NA,"315 Martin Luther King Jr Way, Tacoma, WA 98405",-122.4529682,47.2593601
"143",143,"Covered Recipient Teaching Hospital",500001,1029,"Uw Medicine Northwest","1550 North 115th Street","Mail Stop PZ 506","Seattle","WA","98133","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",102.65,"11/13/2013",1,"In-kind items and services","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",102308984,"Covered","","","","",NA,"","","",NA,NA,"Controls","",NA,NA,NA,"1550 North 115th Street, Seattle, WA 98133",-122.3372047,47.7146036
"144",144,"Covered Recipient Teaching Hospital",500027,1024,"Swedish Health Services","747 Broadway","","Seattle","WA","98122","Bristol-Myers Squibb Company",100000005499,"E.R. Squibb & Sons, L.L.C.","NJ","United States",2500,"10/01/2013",1,"Cash or cash equivalent","Grant","","","",NA,"No Third Party Payment","","","","","No",101547384,"None","","","","",NA,"","","",NA,NA,"","",NA,NA,NA,"747 Broadway, Seattle, WA 98122",-122.3220878,47.6088589
"145",145,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","1959 NE Pacific St","","Seattle","WA","98195","Roche Diagnostics Corporation",100000005419,"Roche Diagnostics Corporation","IN","United States",1672.06,"12/31/2013",1,"In-kind items and services","Education","","","",NA,"No Third Party Payment","","No","","","No",103805260,"Covered","","","","",NA,"","","",NA,NA,"MD - Virology","",NA,NA,NA,"1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"146",146,"Covered Recipient Teaching Hospital",500027,1024,"Swedish Health Services","747 Broadway","","SEATTLE","WA","98122","Vascular Solutions, Inc.",100000000206,"Vascular Solutions, Inc.","MN","United States",1000,"11/14/2013",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","","","","No",101647596,"None","","","","",NA,"","","",NA,NA,"","",NA,NA,NA,"747 Broadway, SEATTLE, WA 98122",-122.3220878,47.6088589
"147",147,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","1959 NE Pacific St","","Seattle","WA","98195","Alexion Pharmaceuticals, Inc.",100000005462,"Alexion Pharmaceuticals, Inc.","CT","United States",3085,"10/16/2013",1,"Cash or cash equivalent","Grant","","","",NA,"No Third Party Payment","","","","","No",103207170,"Covered","SOLIRIS","","","",NA,"2568200101","","",NA,NA,"","",NA,NA,NA,"1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"148",148,"Covered Recipient Teaching Hospital",500005,1026,"Virginia Mason Medical Center","925 Seneca St","","Seattle","WA","98101","KARLSTORZ Endoscopy-America",100000005515,"KARLSTORZ Endoscopy-America","CA","United States",10,"12/31/2013",1,"In-kind items and services","Education","","","",NA,"No Third Party Payment","","","","","No",164007328,"Covered","","","","",NA,"","","",NA,NA,"ORTHOPEDICS","",NA,NA,NA,"925 Seneca St, Seattle, WA 98101",-122.327633,47.6100079
"149",149,"Covered Recipient Teaching Hospital",500005,1026,"Virginia Mason Medical Center","925 Seneca St","","Seattle","WA","98101","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",92.87,"09/04/2013",1,"In-kind items and services","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",102308592,"Covered","","","","",NA,"","","",NA,NA,"Controls","",NA,NA,NA,"925 Seneca St, Seattle, WA 98101",-122.327633,47.6100079
